1,toy story,"{adventure,animation,children,comedy,fantasy}",114709,862,3.89,60424,3.8771,1995,"http://ia.media-imdb.com/images/M/MV5BMTgwMjI4MzU5N15BMl5BanBnXkFtZTcwMTMyNTk3OA@@._V1_UY268_CR9,0,182,268_AL_.jpg",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,1h 21min
2,jumanji,"{adventure,children,fantasy}",113497,8844,3.22,23950,3.2151,1995,"http://ia.media-imdb.com/images/M/MV5BMTk5MjAyNTM4Ml5BMl5BanBnXkFtZTgwMjY0MDI0MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,1h 44min
3,grumpier old men,"{comedy,romance}",113228,15602,3.18,15267,3.175,1995,"http://ia.media-imdb.com/images/M/MV5BMTk1MTk4MDQ4OF5BMl5BanBnXkFtZTYwNDYyMzg4._V1_UY268_CR8,0,182,268_AL_.jpg","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,1h 41min
6,heat,"{action,crime,thriller}",113277,949,3.84,26593,3.8131,1995,"http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,2h 50min
7,sabrina,"{comedy,romance}",114319,11860,3.37,14846,3.3529,1995,"http://ia.media-imdb.com/images/M/MV5BMTYxMTg3OTYyOF5BMl5BanBnXkFtZTcwODE3NTYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,2h 7min
8,tom and huck,"{adventure,children}",112302,45325,3.14,1475,3.1234,1995,"http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg","Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",Peter Hewitt,1h 37min
10,goldeneye,"{action,adventure,thriller}",113189,710,3.44,31357,3.4295,1995,"http://ia.media-imdb.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,Martin Campbell,2h 10min
11,the american president,"{comedy,drama,romance}",112346,9087,3.66,19077,3.6321,1995,"http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway.",Rob Reiner,1h 54min
13,balto,"{adventure,animation,children}",112453,21032,3.3,1648,3.224,1995,"http://ia.media-imdb.com/images/M/MV5BMjA4MDQ0Nzc3N15BMl5BanBnXkFtZTYwMTkzODk4._V1_UY268_CR1,0,182,268_AL_.jpg","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,1h 18min
14,nixon,{drama},113987,10858,3.43,6750,3.3873,1995,"http://ia.media-imdb.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",Oliver Stone,3h 12min
